id_curso;nome_curso;Link;eixos_tematicos;certificador;conteudista;carga_horaria;disponibilidade_dias;tipo_oferta;apresentacao;publico_alvo;conteudo_programatico;data_lancamento;Acessibilidade;Observacao
947;Finanças Públicas e Estatísticas Fiscais;https://www.escolavirtual.gov.br/curso/947;Orçamento e Finanças;Enap;Enap - Escola Nacional de Administração Pública;40;60;Curso Aberto;Conheça os conceitos essenciais de finanças públicas de forma clara e prática. Nesse curso, você terá uma introdução abrangente dos fundamentos das finanças públicas, explorando conceitos, principais estatísticas e sua aplicação no Brasil. Aprenda a avaliar criticamente esses indicadores, interpretar seu impacto na administração pública e aplicá-los a situações práticas de gestão. Um curso pensado para ampliar seus conhecimentos e sua atuação no setor público!;Servidores públicos e profissionais que atuam em áreas correlatas à gestão econômica e financeira, além de estudantes e interessados que busquem uma introdução aos conceitos de finanças públicas e estatísticas econômicas. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.;Módulo 1 - Conceitos Econômicos Iniciais.Módulo 2 - Demonstrativos e Regras de Registro de Transações segundo o GFSM 2014.Módulo 3 - Registro de Receitas e Despesas segundo o GFSM 2014.Módulo 4 - Principais estatísticas produzidas no Brasil.;24/09/2025;;
251;"Formação de Multiplicadores da Série ""Eu e Meu Dinheiro""";https://www.escolavirtual.gov.br/curso/251;Orçamento e Finanças;Enap;Banco Central do Brasil;10;30;Curso Aberto;"O curso Formação de Multiplicadores da Série ""Eu de Meu Dinheiro"" destina-se a sensibilizar os participantes para a gestão das finanças pessoais e a capacitá-los a conduzir grupos de discussão sobre cada um dos cinco vídeos da série ""Eu e Meu Dinheiro"". Para cada episódio da série, o curso apresenta um vídeo de perguntas para reflexão, um debate de especialistas sobre os temas abordados no episódio e um guia para apresentação e discussão do vídeo em grupo. Faça o curso, aprofunde suas reflexões sobre os assuntos abordados e seja você também um multiplicador desses conhecimentos!";"Usuários do sistema financeiro, jovens e adultos, internautas em geral que queiram se tornar multiplicadores da série de vídeos ""Eu e Meu Dinheiro"" para conduzir discussões em grupo sobre os episódios. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.";"Necessidades e desejos; Orçamento familiar; Uso de crédito; A importância de poupar; Riscos e imprevistos; e Consumo consciente. ";05/10/2019;;
438;Gestão de Convênios para Concedentes;https://www.escolavirtual.gov.br/curso/438;Orçamento e Finanças;Enap;Enap - Escola Nacional de Administração Pública;25;30;Curso Aberto;O curso foi desenvolvido em 2021 pela Enap com o objetivo de capacitar servidores públicos que atuam em alguma das etapas de convênios ou similares.;Servidores públicos que atuam em alguma das etapas de convênios ou similares. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.;Módulo 1: Importância e fundamentos de parcerias intergovernamentaisMódulo 2: Preparação da parceria intergovernamentalMódulo 3: Planejamento e formalização do convênio ou termo de compromissoMódulo 4: Execução do objetoMódulo 5: Prestação de contas;08/10/2021;;
170;Gestão de Finanças Pessoais;https://www.escolavirtual.gov.br/curso/170;Orçamento e Finanças;Enap;Banco Central do Brasil;20;30;Curso Aberto;Adquira mais conhecimentos para gerir suas finanças e realizar seus sonhos! O curso, desenvolvido pelo Banco Central em parceria com a Escola de Administração Fazendária, apresenta conceitos básicos do tripé de educação financeira “PLA-POU-CRÉ”: PLAnejar o uso do dinheiro, POUpar ativamente e usar o CRÉdito de forma responsável. Isso tudo de forma simples e lúdica, por meio de vídeos animados.;Jovens ou adultos que queiram aprender a lidar melhor com o dinheiro. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.;" Nossa Relação com o Dinheiro; Orçamento Pessoal e Familiar; Crédito e Endividamento; Consumo Planejado e Consciente; Poupança e Investimento; Prevenção e Proteção; e Consumindo Serviços Financeiros. ";31/10/2019;;
487;Gestão Fiscal Municipal;https://www.escolavirtual.gov.br/curso/487;Orçamento e Finanças;Enap;Secretaria Especial de Assuntos Federativos;10;30;Curso Aberto;Este curso foi desenvolvido pela Enap, em parceria com a Secretaria de Assuntos Federativos da Presidência da República (SEAF), para proporcionar uma visão sistêmica sobre a gestão fiscal de um município destacando os principais riscos e oportunidades na condução de processos voltados à entrega de produtos e serviços, controle orçamentário como ferramenta de gestão, entender as receitas e suas fontes, as despesas públicas, destinação dos recursos e gastos obrigatórios.;Prefeitos e seus assessores, Gestores públicos e agentes que atuam com orçamento, arrecadação, gastos e despesas públicas e gestão fiscal municipal. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.;"Módulo 1 – Orçamento Municipal;Módulo 2 – Arrecadação Municipal;Módulo 3 – Gastos e Despesas Públicas;Módulo 4 – Boa saúde fiscal do município;Módulo 5 – Plano de recuperação fiscal;Módulo 6 – Lei Complementar nº 173/2020.";23/12/2021;;
257;Gestão Orçamentária e Financeira;https://www.escolavirtual.gov.br/curso/257;Orçamento e Finanças;Enap;Tribunal de Contas da União;20;30;Curso Aberto;Nos órgãos e entidades estatais, o processo de planejamento é essencial para que os recursos públicos sejam aplicados de forma eficiente, eficaz e efetiva, de modo a produzir os resultados esperados pela sociedade. O curso foi criado, tendo em vista a importância desse tema.;Agentes da administração pública nas esferas federal, estadual e municipal. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.;" Planejamento e orçamento público; PPA, LDO e LOA - prazos, vigência e características; Ciclo e princípios orçamentários; Créditos adicionais; Discussão e votação do orçamento; Controle e avaliação da execução orçamentária; Regra de ouro; Reserva de contingência. ";14/10/2019;;
125;Gestão Tributária Municipal;https://www.escolavirtual.gov.br/curso/125;Orçamento e Finanças;Enap;Instituto Brasileiro de Administração Municipal - IBAM;30;30;Curso Aberto;Este curso trata das transformações no ambiente e nos processos políticos, econômicos e de produção que têm gerado crescente arrecadação de tributos, abordando os aspectos gerais da gestão tributária como forma de melhorar e gerir com eficiência a arrecadação dos tributos municipais e também a legislação que norteia as organizações e os indivíduos numa perspectiva social. Inscreva-se!;Gestores e técnicos da administração dos municípios que atuem na área de tributação. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.;Módulo 1 - Sistema, Princípios e Competência Tributária Módulo 2 - Obrigação e Legislação Tributária Módulo 3 - Crédito Tributário e Lançamento Módulo 4 - Análise da Gestão Tributária Municipal;07/02/2019;;
404;Instrumentos de Planejamento: PPA, LDO e LOA;https://www.escolavirtual.gov.br/curso/404;Orçamento e Finanças;Enap;Enap - Escola Nacional de Administração Pública;14;30;Curso Aberto;Este curso trata dos principais aspectos e instrumentos do orçamento público. Você irá compreender os conceitos aplicados ao contexto e como ocorre o processo de elaboração do PPA, da LDO e da LOA. Além disso, o curso apresenta informações sobre o Sistema Integrado de Planejamento e Orçamento (SIOP) e sobre o planejamento de políticas públicas. Quer saber mais? Faça sua inscrição.;Servidores públicos que atuam na área de orçamento e finanças, além das pessoas que são interessadas no tema e têm conhecimento prévio sobre PPA, LDO e LOA. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.;Módulo 1 – Políticas Públicas e Planejamento GovernamentalMódulo 2 – Ciclo OrçamentárioMódulo 3 – PPA, LDO e LOAMódulo 4 – Sistema Integrado de Orçamento e Planejamento (SIOP);05/04/2021;;
339;Introdução ao Federalismo Fiscal no Brasil;https://www.escolavirtual.gov.br/curso/339;Orçamento e Finanças;Enap;Secretaria de Orçamento Federal;30;30;Curso Aberto;Desenvolvido pela Secretaria de Orçamento Federal (SOF) em 2016 e, posteriormente, cedido para oferta pela Enap. Revisado em 2020, este curso apresenta as principais características do federalismo em âmbito geral, com foco no federalismo fiscal Brasileiro.;Agentes públicos, estudantes e demais pessoas que tenham interesse no tema. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.;Módulo 1 – Federalismo: Conceitos e OrigemMódulo 2 – Federalismo: Características e ClassificaçõesMódulo 3 – O Federalismo BrasileiroMódulo 4 – Federalismo Fiscal BrasileiroMódulo 5 – O Federalismo e as Transferências Intergovernamentais;25/09/2020;;
116;Introdução ao Orçamento Público;https://www.escolavirtual.gov.br/curso/116;Orçamento e Finanças;Enap;Secretaria do Tesouro Nacional;40;60;Curso Aberto;O curso apresenta noções de orçamento público para uma compreensão básica do processo orçamentário e seus principais instrumentos legais. Este curso compõe o Programa de Aprendizagem em Educação Fiscal.;Pessoas que tenham interesse no orçamento público. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.;1 Compreensão do Orçamento Público 1.1 O Estado e o Orçamento Público1.2 Contexto histórico1.3 Orçamento Público1.4 Lei de Responsabilidade Fiscal (LRF)1.5 Ciclo Orçamentário1.6 Princípios Orçamentários1.7 Tipos de Orçamento 2 Receitas e Despesas Públicas 2.1 Conceito e classificações2.2 Estimativas de Receitas2.3 Relatório de Avaliação Bimestral2.4 Relatório Resumido de Execução Orçamentária 3 Dívida Pública e Financiamento Orçamentário 3.1 Superávit e déficit primários3.2 Medidas de Déficit Público3.3 Definição da meta de Superávit Primário3.4 Dívida Pública brasileira3.5 Financiamento Orçamentário e Impactos no orçamento 4 Política Econômica e Programação Financeira 4.1 Principais ferramentas de Política Econômica4.2 Política fiscal, monetária e cambial4.3 Programação financeira4.4 Relatórios de avaliação;12/09/2017;;
